user_id,follower_id
followers,/u/saltlamphk_clarity/
followers,/u/matthewchloe/
followers,/u/dbsnsnn/
followers,/u/dbsnsnn/reviews/
followers,/u/dbsnsnn/followers/
followers,/u/dbsnsnn/following/
followers,/u/iafihckof/
followers,/u/maggie19820927/
followers,/u/jeffshopline/
followers,/u/_animalcrossing.ac_/
followers,/u/sendylei090104/
followers,/u/heritage1111/
followers,/u/hangdx9siu.1/
followers,/u/hangdx9siu.1/reviews/
followers,/u/hangdx9siu.1/followers/
followers,/u/hangdx9siu.1/following/
followers,/u/owlbaby88/
followers,/u/txxoppa/
followers,/u/raytsangmusic/
followers,/u/r181307-44006/
followers,/u/r181307-44006/reviews/
followers,/u/r181307-44006/followers/
followers,/u/r181307-44006/following/
followers,/u/canny1414/
followers,/u/karl818/
followers,/u/cmank/
followers,/u/hi33hi66/
followers,/u/hung12928/
followers,/u/lucas325/
followers,/u/plugnplanthk/
followers,/u/humhumo.0/
followers,/u/pan861234/
followers,/u/GT750/
followers,/u/tszing0814/
followers,/u/M.C.P.Y/
followers,/u/miziki258/
followers,/u/swkeso2010/
followers,/u/hello_ol/
followers,/u/apaulo14/
followers,/u/firsthonor57601/
followers,/u/Kri2sun/
followers,/u/sopeeramp/
followers,/u/hunter666/
followers,/u/CaLviN/
followers,/u/cdde10663-26180/
followers,/u/contex2018/
followers,/u/tch52956022296/
followers,/u/giraffe.shop/
followers,/u/nishiwaki/
followers,/u/boomieyusiu/
followers,/u/mymeowlife/
followers,/u/cotta789/
followers,/u/一般ピポです/
followers,/u/buddygames/
followers,/u/lightpower0811/
followers,/u/lamlamchu888/
followers,/u/noodol/
followers,/u/wing.cheung/
followers,/u/idgaf911/
followers,/u/aders/
followers,/u/ericannietam/
followers,/u/mantim20120903/
followers,/u/manlee9712/
followers,/u/negannnnnnnn/
followers,/u/leelomo13/
followers,/u/peter19951110-45893/
followers,/u/all_day_trading/
followers,/u/tomb612000/
followers,/u/edxcxa/
followers,/u/nelsonk6607756/
